"","id","position","name","game_pk","game_date"
"1",427192,"1B","Brian Gorman",570335,2018-10-01
"2",503077,"RF","Adam Hamari",570334,2018-10-01
"3",482666,"LF","D.J. Reyburn",570334,2018-10-01
"4",431232,"3B","Chad Fairchild",570334,2018-10-01
"5",427424,"2B","Jim Reynolds",570334,2018-10-01
"6",427362,"1B","Jeff Nelson",570334,2018-10-01
"7",427090,"HP","Fieldin Culbreth",570334,2018-10-01
"8",511890,"RF","Quinn Wolcott",570335,2018-10-01
"9",482663,"LF","David Rackley",570335,2018-10-01
"10",427243,"3B","Marvin Hudson",570335,2018-10-01
"11",427339,"2B","Jerry Meals",570335,2018-10-01
"12",427534,"HP","Bill Welke",570335,2018-10-01
"13",596809,"HP","Ryan Additon",531835,2018-09-30
"14",427093,"3B","Phil Cuzzi",531834,2018-09-30
"15",503077,"2B","Adam Hamari",531834,2018-09-30
"16",483564,"1B","Dan Bellino",531834,2018-09-30
"17",427206,"HP","Tom Hallion",531834,2018-09-30
"18",482620,"3B","Chris Conroy",531833,2018-09-30
"19",427366,"2B","Brian O'Nora",531833,2018-09-30
"20",596740,"1B","Jansen Visconti",531833,2018-09-30
"21",427044,"HP","CB Bucknor",531833,2018-09-30
"22",427538,"3B","Joe West",531832,2018-09-30
"23",427139,"2B","Doug Eddings",531832,2018-09-30
"24",483919,"1B","Mark Ripperger",531832,2018-09-30
"25",427168,"HP","Marty Foster",531832,2018-09-30
"26",484499,"3B","Manny Gonzalez",531831,2018-09-30
"27",427113,"2B","Laz Diaz",531831,2018-09-30
"28",605672,"1B","Jeremie Rehak",531831,2018-09-30
"29",544728,"HP","Nic Lentz",531831,2018-09-30
"30",427509,"3B","Tim Timmons",531830,2018-09-30
"31",521251,"2B","Ben May",531830,2018-09-30
"32",483912,"1B","Mike Muchlinski",531830,2018-09-30
"33",503502,"HP","Ryan Blakney",531830,2018-09-30
"34",427103,"3B","Gerry Davis",531829,2018-09-30
"35",427224,"2B","Ed Hickox",531829,2018-09-30
"36",573596,"1B","Pat Hoberg",531829,2018-09-30
"37",429805,"HP","Todd Tichenor",531829,2018-09-30
"38",484198,"3B","Alan Porter",531828,2018-09-30
"39",427220,"2B","Angel Hernandez",531828,2018-09-30
"40",427344,"1B","Bill Miller",531828,2018-09-30
"41",489985,"HP","Chad Whitson",531828,2018-09-30
"42",482666,"3B","D.J. Reyburn",531827,2018-09-30
"43",427315,"2B","Alfonso Marquez",531827,2018-09-30
"44",427554,"1B","Jim Wolf",531827,2018-09-30
"45",427235,"HP","Sam Holbrook",531827,2018-09-30
"46",482631,"3B","Mike Estabrook",531826,2018-09-30
"47",427095,"2B","Kerwin Danley",531826,2018-09-30
"48",431232,"1B","Chad Fairchild",531826,2018-09-30
"49",427129,"HP","Bruce Dreckman",531826,2018-09-30
"50",596805,"3B","John Libka",531825,2018-09-30
"51",483630,"2B","John Tumpane",531825,2018-09-30
"52",427533,"1B","Mark Wegner",531825,2018-09-30
"53",427424,"HP","Jim Reynolds",531825,2018-09-30
"54",490319,"3B","Jordan Baker",531824,2018-09-30
"55",427299,"2B","Jerry Layne",531824,2018-09-30
"56",483569,"1B","Vic Carapazza",531824,2018-09-30
"57",427184,"HP","Greg Gibson",531824,2018-09-30
"58",573597,"3B","Gabe Morales",531823,2018-09-30
"59",503493,"2B","Sean Barber",531823,2018-09-30
"60",575629,"HP","Shane Livensparger",531823,2018-09-30
"61",427339,"1B","Jerry Meals",531823,2018-09-30
"62",427520,"3B","Larry Vanover",531837,2018-09-30
"63",482663,"2B","David Rackley",531837,2018-09-30
"64",427197,"1B","Chris Guccione",531837,2018-09-30
"65",427537,"HP","Hunter Wendelstedt",531837,2018-09-30
"66",427013,"3B","Lance Barksdale",531836,2018-09-30
"67",577468,"2B","Roberto Ortiz",531836,2018-09-30
"68",427019,"1B","Ted Barrett",531836,2018-09-30
"69",504381,"HP","Will Little",531836,2018-09-30
"70",521051,"3B","Nick Mahrley",531835,2018-09-30
"71",511890,"2B","Quinn Wolcott",531835,2018-09-30
"72",427243,"1B","Marvin Hudson",531835,2018-09-30
"73",483630,"3B","John Tumpane",531810,2018-09-29
"74",482663,"3B","David Rackley",531822,2018-09-29
"75",427197,"2B","Chris Guccione",531822,2018-09-29
"76",427537,"1B","Hunter Wendelstedt",531822,2018-09-29
"77",427520,"HP","Larry Vanover",531822,2018-09-29
"78",427053,"3B","Mark Carlson",531821,2018-09-29
"79",427019,"2B","Ted Barrett",531821,2018-09-29
"80",504381,"1B","Will Little",531821,2018-09-29
"81",427013,"HP","Lance Barksdale",531821,2018-09-29
"82",511890,"3B","Quinn Wolcott",531820,2018-09-29
"83",427243,"2B","Marvin Hudson",531820,2018-09-29
"84",596809,"1B","Ryan Additon",531820,2018-09-29
"85",521051,"HP","Nick Mahrley",531820,2018-09-29
"86",503077,"3B","Adam Hamari",531819,2018-09-29
"87",483564,"2B","Dan Bellino",531819,2018-09-29
"88",427206,"1B","Tom Hallion",531819,2018-09-29
"89",427093,"HP","Phil Cuzzi",531819,2018-09-29
"90",427366,"3B","Brian O'Nora",531818,2018-09-29
"91",427090,"2B","Fieldin Culbreth",531818,2018-09-29
"92",427044,"1B","CB Bucknor",531818,2018-09-29
"93",482620,"HP","Chris Conroy",531818,2018-09-29
"94",427139,"3B","Doug Eddings",531817,2018-09-29
"95",483919,"2B","Mark Ripperger",531817,2018-09-29
"96",427168,"1B","Marty Foster",531817,2018-09-29
"97",427538,"HP","Joe West",531817,2018-09-29
"98",427113,"3B","Laz Diaz",531816,2018-09-29
"99",427362,"2B","Jeff Nelson",531816,2018-09-29
"100",544728,"1B","Nic Lentz",531816,2018-09-29
