"","X1","Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"1",1,2011,"Angels",96,100,95,88,95,100,97,99,100,99,97,98
"2",2,2011,"Orioles",103,102,100,90,110,99,100,101,100,100,98,104
"3",3,2011,"Red Sox",104,101,113,102,97,99,98,101,100,104,102,98
"4",4,2011,"White Sox",104,98,98,87,112,102,107,97,102,98,102,105
"5",5,2011,"Indians",96,99,101,83,97,101,98,101,98,101,97,98
"6",6,2011,"Tigers",102,101,100,117,99,96,99,101,104,97,105,100
"7",7,2011,"Royals",102,103,102,121,94,97,100,103,101,100,94,99
"8",8,2011,"Twins",101,102,102,110,94,98,100,101,99,103,101,99
"9",9,2011,"Yankees",103,100,97,85,110,100,101,100,100,98,100,104
"10",10,2011,"Athletics",97,98,97,106,92,99,101,99,101,100,105,98
"11",11,2011,"Mariners",94,99,94,88,92,103,102,98,99,98,104,97
"12",12,2011,"Rays",95,98,96,110,96,101,99,98,101,98,112,98
"13",13,2011,"Rangers",106,102,103,106,107,98,102,100,101,103,97,103
"14",14,2011,"Blue Jays",102,97,105,104,107,102,99,99,101,100,98,102
"15",15,2011,"Diamondbacks",104,100,106,121,103,99,98,100,99,99,98,101
"16",16,2011,"Braves",99,100,99,98,97,102,100,99,99,103,96,98
"17",17,2011,"Cubs",104,102,101,102,102,100,102,100,101,100,100,101
"18",18,2011,"Reds",101,99,98,98,112,102,100,99,100,99,102,103
"19",19,2011,"Rockies",115,107,109,125,113,96,101,105,99,108,94,107
"20",20,2011,"Marlins",101,100,102,102,97,106,105,99,99,99,104,98
"21",21,2011,"Astros",99,99,99,104,104,103,101,100,101,99,100,101
"22",22,2011,"Dodgers",95,100,97,78,99,100,97,100,100,98,107,99
"23",23,2011,"Brewers",101,98,101,102,110,102,102,98,103,100,100,103
"24",24,2011,"Nationals",100,102,101,95,99,97,96,101,101,101,100,100
"25",25,2011,"Mets",97,99,97,109,93,101,101,99,102,97,108,98
"26",26,2011,"Phillies",101,98,101,94,105,101,101,99,100,98,98,101
"27",27,2011,"Pirates",97,101,100,92,90,95,96,102,99,100,98,98
"28",28,2011,"Cardinals",97,100,97,90,92,99,100,100,99,101,100,97
"29",29,2011,"Padres",92,97,93,105,89,103,103,100,98,97,97,97
"30",30,2011,"Giants",94,99,99,102,89,99,99,101,96,100,97,96
"31",31,2012,"Angels",95,100,96,88,92,101,97,100,99,99,97,96
"32",32,2012,"Orioles",102,101,100,86,107,99,101,101,100,99,100,104
"33",33,2012,"Red Sox",104,102,114,100,95,100,101,102,98,105,102,98
"34",34,2012,"White Sox",104,99,99,90,111,102,107,97,102,98,104,104
"35",35,2012,"Indians",97,99,101,83,101,101,98,101,98,100,95,100
"36",36,2012,"Tigers",102,102,98,123,100,95,99,101,103,98,103,101
"37",37,2012,"Royals",101,101,101,118,95,97,99,102,101,101,95,99
"38",38,2012,"Twins",101,102,102,110,94,98,100,101,99,103,101,99
"39",39,2012,"Yankees",103,100,98,85,111,100,100,99,101,98,100,104
"40",40,2012,"Athletics",97,99,99,107,92,99,101,99,101,101,107,98
"41",41,2012,"Mariners",94,99,94,88,92,103,102,98,99,98,104,97
"42",42,2012,"Rays",95,98,95,103,95,101,100,98,101,99,110,98
"43",43,2012,"Rangers",106,102,100,110,106,98,101,100,101,102,98,103
"44",44,2012,"Blue Jays",103,99,107,106,109,102,99,99,102,102,100,102
"45",45,2012,"Diamondbacks",104,99,104,122,104,100,98,100,100,99,96,101
"46",46,2012,"Braves",99,100,99,94,99,103,100,98,99,102,96,98
"47",47,2012,"Cubs",102,101,101,103,101,102,102,100,100,100,98,100
"48",48,2012,"Reds",101,99,97,98,113,103,100,99,100,98,102,103
"49",49,2012,"Rockies",117,108,109,126,116,95,100,106,100,109,95,108
"50",50,2012,"Marlins",98,99,100,109,89,99,100,100,100,99,96,97
"51",51,2012,"Astros",100,98,100,107,105,103,101,100,100,98,100,101
"52",52,2012,"Dodgers",96,99,98,75,102,100,98,100,100,98,108,100
"53",53,2012,"Brewers",103,100,100,97,111,101,103,98,101,103,98,104
"54",54,2012,"Nationals",100,104,102,87,97,98,97,101,100,103,97,99
"55",55,2012,"Mets",95,96,95,85,102,102,101,97,101,98,108,100
"56",56,2012,"Phillies",100,98,100,94,107,102,101,99,101,97,102,102
"57",57,2012,"Pirates",97,101,101,93,88,95,96,102,99,100,99,97
"58",58,2012,"Cardinals",98,99,99,95,93,98,100,100,100,101,100,99
"59",59,2012,"Padres",92,97,93,105,89,103,103,100,98,97,97,97
"60",60,2012,"Giants",93,99,98,108,87,100,100,101,95,98,95,95
"61",61,2013,"Angels",95,100,96,91,93,102,97,100,99,97,97,97
"62",62,2013,"Orioles",103,101,99,86,108,99,100,100,101,101,99,104
"63",63,2013,"Red Sox",105,103,114,105,96,100,100,101,97,105,102,98
"64",64,2013,"White Sox",102,99,97,91,108,103,107,98,102,99,104,103
"65",65,2013,"Indians",100,100,103,81,101,101,99,101,97,101,95,100
"66",66,2013,"Tigers",101,101,98,126,98,95,99,101,103,98,102,100
"67",67,2013,"Royals",101,101,103,114,93,96,99,102,101,101,96,99
"68",68,2013,"Twins",101,102,101,106,98,98,99,101,99,103,101,100
"69",69,2013,"Yankees",101,100,97,84,110,101,101,99,102,99,102,103
"70",70,2013,"Athletics",97,99,100,105,93,97,101,99,102,100,108,98
"71",71,2013,"Mariners",96,98,96,85,99,103,99,97,102,97,107,98
"72",72,2013,"Rays",96,99,95,98,96,102,100,98,101,98,108,98
"73",73,2013,"Rangers",106,103,101,110,105,98,102,101,101,103,96,103
"74",74,2013,"Blue Jays",102,97,108,105,106,102,99,99,101,101,99,101
"75",75,2013,"Diamondbacks",104,99,105,120,102,100,99,100,99,99,96,100
"76",76,2013,"Braves",99,100,99,93,96,103,101,99,100,101,97,97
"77",77,2013,"Cubs",100,99,99,102,102,101,102,100,100,99,99,101
"78",78,2013,"Reds",102,99,98,92,113,103,101,99,100,99,101,103
"79",79,2013,"Rockies",117,110,108,128,113,95,102,106,99,109,94,108
"80",80,2013,"Marlins",98,99,100,109,89,99,100,100,100,99,96,97
"81",81,2013,"Astros",100,99,100,108,105,103,101,100,99,98,100,101
"82",82,2013,"Dodgers",96,98,98,78,102,100,96,99,100,97,106,99
"83",83,2013,"Brewers",104,99,100,102,112,101,102,99,101,102,96,104
"84",84,2013,"Nationals",100,104,102,84,97,97,98,100,101,101,99,99
"85",85,2013,"Mets",95,96,95,85,102,102,101,97,101,98,108,100
"86",86,2013,"Phillies",100,98,99,92,107,103,102,99,101,97,104,102
"87",87,2013,"Pirates",96,101,99,89,90,96,96,102,98,101,97,97
"88",88,2013,"Cardinals",98,100,99,95,94,98,99,100,101,100,101,99
"89",89,2013,"Padres",95,98,96,96,96,101,100,100,98,99,97,98
"90",90,2013,"Giants",92,99,97,115,84,100,100,101,95,98,96,94
"91",91,2014,"Angels",95,99,96,91,95,102,97,100,100,97,98,97
"92",92,2014,"Orioles",102,101,97,87,107,98,99,100,100,101,99,103
"93",93,2014,"Red Sox",105,102,115,108,98,99,100,102,98,104,102,99
"94",94,2014,"White Sox",101,99,97,94,107,102,104,99,101,100,102,103
"95",95,2014,"Indians",102,101,106,80,102,101,100,101,98,101,93,101
"96",96,2014,"Tigers",101,100,97,125,100,96,100,100,103,98,104,101
"97",97,2014,"Royals",103,101,105,115,94,97,99,101,102,101,95,99
"98",98,2014,"Twins",102,102,102,107,99,97,98,102,100,102,100,101
"99",99,2014,"Yankees",101,99,96,81,111,101,101,98,102,98,102,104
"100",100,2014,"Athletics",96,99,99,107,92,97,99,99,103,99,109,98
"101",101,2014,"Mariners",96,98,96,85,99,103,99,97,102,97,107,98
"102",102,2014,"Rays",97,99,95,101,95,102,100,98,101,99,106,97
"103",103,2014,"Rangers",104,103,99,108,101,98,102,100,101,103,97,101
"104",104,2014,"Blue Jays",102,97,108,100,105,101,100,100,100,100,99,101
"105",105,2014,"Diamondbacks",105,100,105,125,104,100,100,101,99,100,93,101
"106",106,2014,"Braves",99,100,98,96,94,103,102,98,100,101,99,97
"107",107,2014,"Cubs",99,99,100,100,100,101,102,100,100,100,100,100
"108",108,2014,"Reds",101,99,98,91,111,104,102,98,100,99,101,103
"109",109,2014,"Rockies",118,110,110,131,113,95,102,107,98,109,90,108
"110",110,2014,"Marlins",98,99,100,109,89,99,100,100,100,99,96,97
"111",111,2014,"Astros",98,98,98,110,102,104,100,101,97,99,101,99
"112",112,2014,"Dodgers",95,97,98,76,101,101,94,99,100,97,102,98
"113",113,2014,"Brewers",103,98,100,101,113,102,101,98,101,100,97,104
"114",114,2014,"Nationals",100,103,101,85,97,99,100,100,102,101,100,99
"115",115,2014,"Mets",95,96,95,85,102,102,101,97,101,98,108,100
"116",116,2014,"Phillies",99,97,98,93,108,103,101,99,100,96,107,102
"117",117,2014,"Pirates",96,101,99,97,90,96,97,102,98,103,98,97
"118",118,2014,"Cardinals",98,101,101,94,96,98,98,101,102,101,104,99
"119",119,2014,"Padres",95,98,96,96,96,101,100,100,98,99,97,98
"120",120,2014,"Giants",95,100,98,118,85,99,102,101,96,97,95,95
"121",121,2015,"Angels",97,100,96,88,98,102,97,101,100,98,100,98
"122",122,2015,"Orioles",101,101,96,87,106,98,100,101,102,100,100,103
"123",123,2015,"Red Sox",104,103,112,103,95,99,99,102,97,103,101,98
"124",124,2015,"White Sox",99,98,95,93,105,102,103,98,101,98,105,102
"125",125,2015,"Indians",102,101,106,83,102,100,100,101,97,101,92,100
"126",126,2015,"Tigers",102,101,99,123,101,96,100,100,104,101,105,102
"127",127,2015,"Royals",102,101,105,114,92,97,99,100,101,101,95,98
"128",128,2015,"Twins",102,103,103,104,101,98,99,102,101,102,100,101
"129",129,2015,"Yankees",101,99,95,83,112,101,100,98,102,98,102,104
"130",130,2015,"Athletics",98,99,102,113,94,98,99,100,102,100,105,98
"131",131,2015,"Mariners",96,98,96,85,99,103,99,97,102,97,107,98
"132",132,2015,"Rays",97,99,94,100,96,103,100,98,100,100,104,98
"133",133,2015,"Rangers",105,103,100,109,101,98,104,100,100,103,98,102
"134",134,2015,"Blue Jays",101,97,108,97,103,100,99,99,99,100,98,101
"135",135,2015,"Diamondbacks",105,100,106,127,104,100,100,101,100,101,93,101
"136",136,2015,"Braves",99,100,98,96,94,103,102,98,100,101,99,97
"137",137,2015,"Cubs",100,100,100,103,101,101,102,100,99,101,97,100
"138",138,2015,"Reds",101,98,100,91,108,104,102,98,100,98,102,102
"139",139,2015,"Rockies",116,109,109,132,110,95,102,107,99,107,90,107
"140",140,2015,"Marlins",97,99,98,108,90,99,101,101,99,97,95,97
"141",141,2015,"Astros",97,98,96,109,102,103,99,100,98,98,100,99
"142",142,2015,"Dodgers",96,97,99,77,100,100,94,99,100,96,102,98
"143",143,2015,"Brewers",102,99,101,96,108,101,101,99,100,101,97,103
"144",144,2015,"Nationals",101,104,102,81,97,99,100,100,102,101,98,99
"145",145,2015,"Mets",95,95,96,86,99,102,101,97,101,98,110,100
"146",146,2015,"Phillies",100,98,97,95,111,104,101,99,101,97,108,103
"147",147,2015,"Pirates",98,102,99,96,92,97,99,102,98,104,99,98
"148",148,2015,"Cardinals",97,100,99,96,95,97,98,100,101,101,103,99
"149",149,2015,"Padres",95,98,96,96,96,101,100,100,98,99,97,98
"150",150,2015,"Giants",96,100,99,122,86,100,101,101,97,98,98,95
"151",151,2016,"Angels",97,100,96,88,98,102,97,101,100,98,100,99
"152",152,2016,"Orioles",100,101,96,87,106,98,100,101,102,100,100,103
"153",153,2016,"Red Sox",105,103,112,103,95,99,99,102,97,103,101,99
"154",154,2016,"White Sox",99,98,95,93,105,102,103,98,101,98,105,100
"155",155,2016,"Indians",104,101,106,83,102,100,100,101,97,101,92,101
"156",156,2016,"Tigers",100,101,99,123,101,96,100,100,104,101,105,101
"157",157,2016,"Royals",101,101,105,114,92,97,99,100,101,101,95,98
"158",158,2016,"Twins",102,103,103,104,101,98,99,102,101,102,100,102
"159",159,2016,"Yankees",101,99,95,83,112,101,100,98,102,98,102,104
"160",160,2016,"Athletics",98,99,102,113,94,98,99,100,102,100,105,98
"161",161,2016,"Mariners",95,98,96,85,99,103,99,97,102,97,107,98
"162",162,2016,"Rays",97,99,94,100,96,103,100,98,100,100,104,97
"163",163,2016,"Rangers",108,103,100,109,101,98,104,100,100,103,98,104
"164",164,2016,"Blue Jays",100,97,108,97,103,100,99,99,99,100,98,100
"165",165,2016,"Diamondbacks",105,100,106,127,104,100,100,101,100,101,93,101
"166",166,2016,"Braves",99,100,98,96,94,103,102,98,100,101,99,97
"167",167,2016,"Cubs",100,100,100,103,101,101,102,100,99,101,97,100
"168",168,2016,"Reds",102,98,100,91,108,104,102,98,100,98,102,103
"169",169,2016,"Rockies",116,109,109,132,110,95,102,107,99,107,90,107
"170",170,2016,"Marlins",95,99,98,108,90,99,101,101,99,97,95,97
"171",171,2016,"Astros",96,98,96,109,102,103,99,100,98,98,100,99
"172",172,2016,"Dodgers",96,97,99,77,100,100,94,99,100,96,102,98
"173",173,2016,"Brewers",101,99,101,96,108,101,101,99,100,101,97,102
"174",174,2016,"Nationals",102,104,102,81,97,99,100,100,102,101,98,100
"175",175,2016,"Mets",94,95,96,86,99,102,101,97,101,98,110,98
"176",176,2016,"Phillies",99,98,97,95,111,104,101,99,101,97,108,102
"177",177,2016,"Pirates",98,102,99,96,92,97,99,102,98,104,99,99
"178",178,2016,"Cardinals",98,100,99,96,95,97,98,100,101,101,103,99
"179",179,2016,"Padres",97,98,96,96,96,101,100,100,98,99,97,99
"180",180,2016,"Giants",97,100,99,122,86,100,101,101,97,98,98,95
"181",181,2017,"Angels",97,100,96,88,98,102,97,101,100,98,100,99
"182",182,2017,"Orioles",100,101,96,87,106,98,100,101,102,100,100,103
"183",183,2017,"Red Sox",105,103,112,103,95,99,99,102,97,103,101,99
"184",184,2017,"White Sox",99,98,95,93,105,102,103,98,101,98,105,100
"185",185,2017,"Indians",104,101,106,83,102,100,100,101,97,101,92,101
"186",186,2017,"Tigers",100,101,99,123,101,96,100,100,104,101,105,101
